tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
0.0207681,0.587726,4399.63,-3875.6,85.301,766.638,0.0419204,0.717753,0.00340429
0.0206706,0.594771,4399.63,-3875.53,85.588,765.829,0.0417376,0.724607,0.0040363
0.0208306,0.589657,4399.62,-3875.54,85.6055,766.446,0.042233,0.720644,0.00399207
0.0202296,0.593927,4399.64,-3875.55,84.0219,768.116,0.0423691,0.722918,0.00394808
0.0207576,0.590678,4399.63,-3875.47,85.7701,766.478,0.0421935,0.717863,0.00401919
0.0206925,0.576105,4399.63,-3875.43,85.5876,767.921,0.041908,0.692855,0.00331293
0.0203431,0.601579,4399.64,-3875.56,84.0168,765.71,0.0422163,0.760438,0.00465909
0.0202782,0.578142,4399.64,-3875.62,84.3202,768.349,0.0425457,0.716445,0.00373969
0.0204182,0.567571,4399.64,-3875.62,84.69,768.446,0.0419851,0.700018,0.00386459
0.0204686,0.587312,4399.64,-3875.53,84.7107,766.704,0.0419772,0.728242,0.00408561
0.0206914,0.581097,4399.63,-3875.55,85.4444,766.724,0.0418207,0.712578,0.00364195
